name,powerStatus,address,serialNumber,deviceType,model,path,protocol,capabilities,deratedPower
Cooper-n1,UNKNOWN,10.4.7.89,LUC212200002,Server,Node Manager 4.0 DataON - AZS-6224,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
superrock-n1,UNKNOWN,10.3.7.38,LUC213900160,Server,Node Manager 4.0 DataON - AZS-6112,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
superrock-n2,ON,10.4.7.67,LUC213900159,Server,Node Manager 4.0 DataON - AZS-6112,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
custdemo1,ON,10.4.7.63,BQWT80400132,Server,Node Manager 4.0 DataON - S2D-5208i,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
custdemo2,ON,10.4.7.64,BQWT80400097,Server,Node Manager 4.0 DataON - S2D-5208i,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.15,ON,10.4.7.15,LUC213300009,Server,Node Manager 4.0 DataON - AZS-6224,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.45,ON,10.4.7.45,BQKY11600029,Server,Node Manager 4.0 DataON - AZS-6224,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
superrock-bmc1.fastv2.dataonstorage.com,ON,10.4.7.65,LUC213900160,Server,Node Manager 4.0 DataON - AZS-6112,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.174,ON,10.4.7.174,LUC213300008,Server,Node Manager 4.0 DataON - AZS-6224,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.13,ON,10.4.7.13,LUF902900101,Server,Node Manager 4.0 DataON - AZS-212,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.14,ON,10.4.7.14,LUF902900101,Server,Node Manager 4.0 DataON - AZS-212,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.17,ON,10.4.7.17,BQWT72700151,Server,Node Manager 4.0 DataON - AZS-216,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.18,ON,10.4.7.18,USALP02921GR0002,Server,Node Manager 4.0 Intel Corporation - S2600STB,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.22,ON,10.4.7.22,LUF902900104,Server,Node Manager 4.0 DataON - AZS-212,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.32,ON,10.4.7.32,LUF902900104,Server,Node Manager 4.0 DataON - AZS-212,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.40,ON,10.4.7.40,LUF902900102,Server,Node Manager 4.0 DataON - AZS-212,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.43,ON,10.4.7.43,BQWT72700151,Server,Node Manager 4.0 DataON - AZS-216,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.49,ON,10.4.7.49,LUF902900103,Server,Node Manager 4.0 DataON - AZS-212,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.60,ON,10.4.7.60,BQWT83900068,Server,Node Manager 4.0 DataON - S2D-5224i,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.61,UNKNOWN,10.4.7.61,BQWT83900068,Server,Node Manager 4.0 DataON - S2D-5224i,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.68,ON,10.4.7.68,LUF902900103,Server,Node Manager 4.0 DataON - AZS-212,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.79,ON,10.4.7.79,BQWT72700157,Server,Node Manager 4.0 DataON - AZS-216,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.80,ON,10.4.7.80,BQWT72700157,Server,Node Manager 4.0 DataON - AZS-216,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.4.7.84,ON,10.4.7.84,BQWT83400171,Server,Node Manager 4.0 DataON - S2D-5224i,DataON Labs > Lab > Back > 10.4.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.3.7.40,ON,10.3.7.40,LUC213900159,Server,Node Manager 4.0 DataON - AZS-6112,DataON Labs > Lab > Back > 10.3.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.3.7.13,OFF,10.3.7.13,LUF902200113,Server,Node Manager 4.0 DataON - AZS-216,DataON Labs > Lab > Back > 10.3.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.3.7.58,OFF,10.3.7.58,LUF902200113,Server,Node Manager 4.0 DataON - AZS-216,DataON Labs > Lab > Back > 10.3.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.3.7.23,OFF,10.3.7.23,BQWT80100686,Server,Node Manager 4.0 DataON - AZS-216,DataON Labs > Lab > Back > 10.3.7.0/24,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.7.7.18,UNKNOWN,10.7.7.18,LUC221300015,Server,Node Manager 4.0 DataON - S2D-6212,,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.7.7.21,UNKNOWN,10.7.7.21,LUC222000016,Server,Node Manager 4.0 DataON - S2D-6112,,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.7.7.22,UNKNOWN,10.7.7.22,LUC222000016,Server,Node Manager 4.0 DataON - S2D-6112,,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.7.7.23,UNKNOWN,10.7.7.23,LUC222000017,Server,Node Manager 4.0 DataON - S2D-6112,,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.7.7.24,UNKNOWN,10.7.7.24,LUC222000017,Server,Node Manager 4.0 DataON - S2D-6112,,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.7.7.25,UNKNOWN,10.7.7.25,LUC221700298,Server,Node Manager 4.0 DataON - S2D-6112,,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.6.12.13,UNKNOWN,10.6.12.13,LUC222400061,Server,Node Manager 4.0 DataON - AZS-6224,,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.6.12.14,UNKNOWN,10.6.12.14,LUC222400061,Server,Node Manager 4.0 DataON - AZS-6224,,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.6.12.17,UNKNOWN,10.6.12.17,LUC222400060,Server,Node Manager 4.0 DataON - AZS-6224,,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.6.12.18,UNKNOWN,10.6.12.18,LUC222400060,Server,Node Manager 4.0 DataON - AZS-6224,,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
Server - 10.6.12.12,ON,10.6.12.12,LUC221500005,Server,Node Manager 4.0 DataON - AZS-6208G,,IPMI,"[""power monitoring"",""temperature monitoring"",""power control"",""CPU telemetry""]",400
